Date,Home,Away,Score,Status
"May 11, 9:00pm",CR Khemis Zemamra,Olympique Dcheïra,,Stats
"May 11, 7:00pm",Yacoub El Mansour,Kawkab Marrakech,,Stats
"May 11, 5:00pm",Olympic Safi,FUS Rabat,,Stats
"May 10, 9:00pm",Hassania Agadir,FAR Rabat,,Stats
"May 10, 7:00pm",CODM Meknès,RSB Berkane,,Stats
"May 10, 7:00pm",UTS Rabat,Maghreb Fès,,Stats
"May 10, 5:00pm",Ittihad Tanger,Difaâ El Jadida,,Stats
"May 9, 8:00pm",Raja Casablanca,Wydad Casablanca,,Stats
"May 8, 9:00pm",Kawkab Marrakech,CR Khemis Zemamra,,Stats
"May 8, 7:00pm",Olympique Dcheïra,Yacoub El Mansour,,Stats
"May 7, 9:00pm",FAR Rabat,Olympic Safi,,Stats
"May 7, 7:00pm",RSB Berkane,UTS Rabat,,Stats
"May 7, 5:00pm",Difaâ El Jadida,Hassania Agadir,,Stats
"May 6, 9:00pm",Maghreb Fès,Raja Casablanca,,Stats
"May 6, 7:00pm",Wydad Casablanca,CODM Meknès,,Stats
"May 6, 5:00pm",FUS Rabat,Ittihad Tanger,,Stats
"May 4, 9:00pm",Kawkab Marrakech,Olympique Dcheïra,,Stats
"May 4, 7:00pm",Yacoub El Mansour,RSB Berkane,,Stats
"May 4, 5:00pm",Hassania Agadir,Olympic Safi,,Stats
"May 3, 9:00pm",Ittihad Tanger,FAR Rabat,,Stats
"May 3, 7:00pm",Raja Casablanca,Difaâ El Jadida,,Stats
"May 3, 7:00pm",UTS Rabat,FUS Rabat,,Stats
"May 3, 5:00pm",CR Khemis Zemamra,Wydad Casablanca,,Stats
"May 2, 8:00pm",CODM Meknès,Maghreb Fès,,Stats
,RSB Berkane,Kawkab Marrakech,,Stats
,FAR Rabat,Raja Casablanca,,Stats
,Difaâ El Jadida,CR Khemis Zemamra,,Stats
,Olympique Dcheïra,UTS Rabat,,Stats
,Maghreb Fès,Hassania Agadir,4 - 0,FT
,Olympic Safi,Ittihad Tanger,1 - 2,FT
,Wydad Casablanca,Yacoub El Mansour,1 - 2,FT
,FUS Rabat,CODM Meknès,1 - 0,FT
,RSB Berkane,Olympique Dcheïra,2 - 1,FT
,Yacoub El Mansour,FAR Rabat,2 - 2,FT
,Raja Casablanca,FUS Rabat,4 - 1,FT
,CR Khemis Zemamra,Maghreb Fès,1 - 2,FT
,Kawkab Marrakech,Wydad Casablanca,0 - 0,FT
,UTS Rabat,Olympic Safi,1 - 1,FT
,CODM Meknès,Difaâ El Jadida,0 - 1,FT
,Hassania Agadir,Ittihad Tanger,1 - 1,FT
,FAR Rabat,RSB Berkane,0 - 0,FT
,Olympic Safi,CR Khemis Zemamra,1 - 3,FT
,Maghreb Fès,Wydad Casablanca,1 - 0,FT
,Wydad Casablanca,Difaâ El Jadida,1 - 1,FT
,Kawkab Marrakech,FAR Rabat,0 - 0,FT
,RSB Berkane,Maghreb Fès,1 - 1,FT
,Yacoub El Mansour,Olympic Safi,1 - 3,FT
,FUS Rabat,Wydad Casablanca,1 - 0,FT
,FAR Rabat,Olympique Dcheïra,3 - 2,FT
,Olympic Safi,RSB Berkane,1 - 1,FT
"Mar 8, 11:00pm",RSB Berkane,Difaâ El Jadida,2 - 1,FT
"Mar 8, 11:00pm",UTS Rabat,Wydad Casablanca,3 - 4,FT
"Mar 7, 11:00pm",CR Khemis Zemamra,FAR Rabat,0 - 0,FT
"Mar 7, 11:00pm",Raja Casablanca,Olympic Safi,2 - 0,FT
"Mar 7, 11:00pm",Kawkab Marrakech,Hassania Agadir,2 - 1,FT
"Mar 7, 11:00pm",Olympique Dcheïra,Maghreb Fès,0 - 2,FT
"Mar 6, 11:00pm",Yacoub El Mansour,FUS Rabat,1 - 3,FT
"Mar 6, 11:00pm",CODM Meknès,Ittihad Tanger,1 - 0,FT
"Mar 4, 11:00pm",Kawkab Marrakech,Olympic Safi,1 - 1,FT
"Mar 4, 11:00pm",Wydad Casablanca,FAR Rabat,1 - 2,FT
"Mar 4, 11:00pm",RSB Berkane,Hassania Agadir,2 - 1,FT
"Mar 1, 11:00pm",Wydad Casablanca,RSB Berkane,1 - 0,FT
"Mar 1, 11:00pm",FUS Rabat,CR Khemis Zemamra,3 - 2,FT
"Mar 1, 11:00pm",Hassania Agadir,Raja Casablanca,0 - 1,FT
"Feb 28, 11:00pm",Olympic Safi,Olympique Dcheïra,0 - 0,FT
"Feb 28, 11:00pm",Difaâ El Jadida,Yacoub El Mansour,2 - 1,FT
"Feb 28, 11:00pm",Ittihad Tanger,UTS Rabat,1 - 1,FT
"Feb 27, 11:00pm",FAR Rabat,CODM Meknès,3 - 0,FT
"Feb 27, 11:00pm",Maghreb Fès,Kawkab Marrakech,1 - 1,FT
"Feb 25, 11:00pm",RSB Berkane,Raja Casablanca,1 - 1,FT
"Feb 22, 11:00pm",Raja Casablanca,Ittihad Tanger,2 - 0,FT
"Feb 22, 11:00pm",RSB Berkane,FUS Rabat,1 - 0,FT
"Feb 22, 11:00pm",CR Khemis Zemamra,Hassania Agadir,0 - 0,FT
"Feb 21, 11:00pm",Olympique Dcheïra,Wydad Casablanca,0 - 5,FT
"Feb 21, 11:00pm",UTS Rabat,FAR Rabat,1 - 1,FT
"Feb 21, 11:00pm",Kawkab Marrakech,Difaâ El Jadida,0 - 0,FT
"Feb 20, 11:00pm",Yacoub El Mansour,Maghreb Fès,1 - 2,FT
"Feb 20, 11:00pm",CODM Meknès,Olympic Safi,1 - 0,FT
"Feb 18, 5:00pm",CR Khemis Zemamra,RSB Berkane,2 - 1,FT
"Feb 15, 7:00pm",FUS Rabat,Kawkab Marrakech,1 - 1,FT
"Feb 15, 5:00pm",Hassania Agadir,CODM Meknès,0 - 0,FT
"Feb 14, 6:00pm",Difaâ El Jadida,UTS Rabat,1 - 0,FT
"Feb 14, 4:00pm",Ittihad Tanger,Olympique Dcheïra,1 - 2,FT
"Feb 13, 8:00pm",Raja Casablanca,Yacoub El Mansour,0 - 0,FT
"Feb 8, 6:00pm",CODM Meknès,Raja Casablanca,1 - 0,FT
"Feb 8, 4:00pm",CR Khemis Zemamra,Ittihad Tanger,1 - 0,FT
"Feb 7, 6:00pm",UTS Rabat,Hassania Agadir,0 - 2,FT
"Feb 7, 4:00pm",Olympique Dcheïra,FUS Rabat,1 - 1,FT
"Feb 1, 6:00pm",Raja Casablanca,CR Khemis Zemamra,3 - 0,FT
"Feb 1, 4:00pm",Ittihad Tanger,Kawkab Marrakech,0 - 0,FT
"Jan 31, 8:00pm",Difaâ El Jadida,Maghreb Fès,0 - 0,FT
"Jan 31, 6:00pm",CODM Meknès,UTS Rabat,1 - 1,FT
"Jan 31, 4:00pm",Hassania Agadir,Yacoub El Mansour,2 - 0,FT
"Jan 25, 6:00pm",UTS Rabat,Raja Casablanca,1 - 1,FT
"Jan 25, 4:00pm",CR Khemis Zemamra,CODM Meknès,1 - 2,FT
"Jan 24, 8:00pm",Yacoub El Mansour,Ittihad Tanger,1 - 2,FT
"Jan 24, 6:00pm",Maghreb Fès,FUS Rabat,4 - 2,FT
"Jan 24, 4:00pm",Olympique Dcheïra,Difaâ El Jadida,0 - 1,FT
"Nov 9, 8:00pm",FAR Rabat,Maghreb Fès,0 - 0,FT
"Nov 9, 6:00pm",Ittihad Tanger,RSB Berkane,1 - 0,FT
"Nov 9, 4:00pm",Olympic Safi,Wydad Casablanca,1 - 2,FT
"Nov 9, 4:00pm",Difaâ El Jadida,FUS Rabat,1 - 0,FT
"Nov 8, 8:00pm",CODM Meknès,Yacoub El Mansour,1 - 0,FT
"Nov 8, 6:00pm",UTS Rabat,CR Khemis Zemamra,1 - 2,FT
"Nov 8, 4:00pm",Hassania Agadir,Olympique Dcheïra,0 - 3,FT
"Nov 6, 8:00pm",FAR Rabat,FUS Rabat,1 - 0,FT
"Nov 5, 6:00pm",RSB Berkane,CODM Meknès,2 - 0,FT
"Nov 5, 6:00pm",Olympic Safi,Difaâ El Jadida,1 - 2,FT
"Nov 5, 4:00pm",Hassania Agadir,Wydad Casablanca,1 - 2,FT
"Nov 4, 8:00pm",Raja Casablanca,Kawkab Marrakech,1 - 0,FT
"Nov 2, 8:00pm",Wydad Casablanca,Ittihad Tanger,2 - 0,FT
"Nov 2, 8:00pm",FUS Rabat,Hassania Agadir,1 - 2,FT
"Nov 2, 6:00pm",Difaâ El Jadida,FAR Rabat,0 - 4,FT
"Nov 2, 4:00pm",Maghreb Fès,Olympic Safi,4 - 0,FT
"Nov 1, 8:00pm",Yacoub El Mansour,CR Khemis Zemamra,2 - 0,FT
"Oct 31, 4:00pm",Olympique Dcheïra,CODM Meknès,1 - 1,FT
"Oct 31, 4:00pm",Kawkab Marrakech,UTS Rabat,3 - 0,FT
"Oct 30, 8:00pm",FUS Rabat,Olympic Safi,2 - 1,FT
"Oct 29, 8:00pm",Wydad Casablanca,Raja Casablanca,0 - 0,FT
"Oct 29, 6:00pm",FAR Rabat,Hassania Agadir,3 - 0,FT
"Oct 26, 6:00pm",CODM Meknès,Kawkab Marrakech,1 - 0,FT
"Oct 26, 4:00pm",UTS Rabat,Yacoub El Mansour,1 - 1,FT
"Oct 25, 6:00pm",Raja Casablanca,Olympique Dcheïra,1 - 0,FT
"Oct 25, 4:00pm",Ittihad Tanger,Maghreb Fès,1 - 1,FT
"Oct 19, 6:00pm",Difaâ El Jadida,Ittihad Tanger,2 - 2,FT
"Oct 19, 4:00pm",Kawkab Marrakech,Yacoub El Mansour,2 - 1,FT
"Oct 18, 8:00pm",Maghreb Fès,UTS Rabat,1 - 0,FT
"Oct 18, 4:00pm",Olympique Dcheïra,CR Khemis Zemamra,0 - 1,FT
"Oct 5, 8:00pm",Olympic Safi,FAR Rabat,0 - 3,FT
"Oct 5, 6:00pm",UTS Rabat,RSB Berkane,2 - 2,FT
"Oct 5, 4:00pm",Yacoub El Mansour,Olympique Dcheïra,0 - 1,FT
"Oct 5, 4:00pm",Hassania Agadir,Difaâ El Jadida,2 - 1,FT
"Oct 4, 6:00pm",Ittihad Tanger,FUS Rabat,0 - 3,FT
"Oct 4, 4:00pm",CR Khemis Zemamra,Kawkab Marrakech,1 - 1,FT
"Oct 3, 8:00pm",Raja Casablanca,Maghreb Fès,1 - 1,FT
"Oct 3, 6:00pm",CODM Meknès,Wydad Casablanca,1 - 3,FT
"Oct 1, 8:00pm",RSB Berkane,Yacoub El Mansour,3 - 3,FT
"Oct 1, 6:00pm",FAR Rabat,Ittihad Tanger,1 - 1,FT
"Oct 1, 4:00pm",Olympic Safi,Hassania Agadir,1 - 0,FT
"Sep 28, 6:00pm",Maghreb Fès,CODM Meknès,0 - 0,FT
"Sep 28, 4:00pm",Difaâ El Jadida,Raja Casablanca,0 - 2,FT
"Sep 27, 8:00pm",Wydad Casablanca,CR Khemis Zemamra,3 - 1,FT
"Sep 27, 4:00pm",Olympique Dcheïra,Kawkab Marrakech,2 - 1,FT
"Sep 26, 8:00pm",FUS Rabat,UTS Rabat,1 - 1,FT
"Sep 21, 6:00pm",UTS Rabat,Olympique Dcheïra,1 - 1,FT
"Sep 21, 4:00pm",CR Khemis Zemamra,Difaâ El Jadida,0 - 0,FT
"Sep 20, 6:00pm",CODM Meknès,FUS Rabat,2 - 0,FT
"Sep 20, 4:00pm",Hassania Agadir,Maghreb Fès,0 - 2,FT
"Sep 19, 8:00pm",Yacoub El Mansour,Wydad Casablanca,1 - 1,FT
"Sep 17, 8:00pm",Raja Casablanca,FAR Rabat,0 - 0,FT
"Sep 16, 8:00pm",Kawkab Marrakech,RSB Berkane,1 - 2,FT
"Sep 15, 5:00pm",Ittihad Tanger,Olympic Safi,1 - 1,FT
"Sep 14, 8:00pm",Maghreb Fès,CR Khemis Zemamra,2 - 0,FT
"Sep 14, 6:00pm",Difaâ El Jadida,CODM Meknès,0 - 0,FT
"Sep 13, 8:00pm",FAR Rabat,Yacoub El Mansour,2 - 0,FT
"Sep 13, 6:00pm",FUS Rabat,Raja Casablanca,0 - 2,FT
"Sep 12, 8:00pm",Wydad Casablanca,Kawkab Marrakech,1 - 0,FT
"Sep 12, 6:00pm",Olympic Safi,UTS Rabat,1 - 1,FT
"Sep 12, 6:00pm",Olympique Dcheïra,RSB Berkane,0 - 4,FT
"Sep 12, 4:00pm",Ittihad Tanger,Hassania Agadir,1 - 1,FT
